Caller,Strategy,Description,TotalTrades,WinRate,FinalPortfolio,TotalReturn,MaxDrawdown,AvgPnlPerTrade
exy,MultiTrade_30pctTrail_MA_24h,"Multi-trade: 30% trailing stop, re-enter using MA crossovers",31,22.58,76.59,-23.41,25.57,-7.55
exy,Ichimoku_5m_TenkanKijunCross_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross on 5m, 20% trailing stop, 20% loss cap",24,29.17,85.88,-14.12,15.74,-5.88
exy,Ichimoku_5m_CloudCross_20pctTrail_24h,"Delayed entry: Ichimoku cloud cross on 5m, 20% trailing stop, 20% loss cap",24,20.83,77.14,-22.86,23.31,-9.52
exy,PriceBreakout_5pct_20pctTrail_24h,"Delayed entry: 5% price breakout above alert, 20% trailing stop, 20% loss cap",17,17.65,84.64,-15.36,15.36,-9.03
exy,PriceBreakout_10pct_20pctTrail_24h,"Delayed entry: 10% price breakout above alert, 20% trailing stop, 20% loss cap",15,20.00,85.61,-14.39,14.39,-9.59
exy,Ichimoku_5m_MACD_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross + MACD bullish on 5m, 20% trailing stop",24,29.17,84.90,-15.10,17.35,-6.29
exy,Ichimoku_5m_MA_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross + MA golden cross on 5m, 20% trailing stop",16,12.50,80.14,-19.86,19.86,-12.41
exy,RSI_Oversold_5m_20pctTrail_24h,"Delayed entry: RSI oversold bounce on 5m, 20% trailing stop, 20% loss cap",21,28.57,90.64,-9.36,11.44,-4.46
exy,MACD_Cross_5m_20pctTrail_24h,"Delayed entry: MACD bullish crossover on 5m, 20% trailing stop, 20% loss cap",24,29.17,89.45,-10.55,12.46,-4.39
exy,MA_GoldenCross_5m_20pctTrail_24h,"Delayed entry: MA golden cross (EMA9 > EMA20) on 5m, 20% trailing stop, 20% loss cap",29,17.24,70.11,-29.89,29.89,-10.31
exy,Ichimoku_5m_TenkanKijun_10pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 10% trailing stop, 20% loss cap",24,33.33,95.37,-4.63,7.87,-1.93
exy,Ichimoku_5m_TenkanKijun_15pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 15% trailing stop, 20% loss cap",24,20.83,89.47,-10.53,13.19,-4.39
exy,Ichimoku_5m_TenkanKijun_25pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 25% trailing stop, 20% loss cap",24,25.00,77.13,-22.87,22.87,-9.53
exy,Ichimoku_5m_TenkanKijun_30pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 30% trailing stop, 20% loss cap",24,20.83,76.97,-23.03,23.03,-9.60
exy,Ichimoku_5m_TenkanKijun_35pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 35% trailing stop, 20% loss cap",24,20.83,69.24,-30.76,30.76,-12.82
exy,Ichimoku_5m_TenkanKijun_40pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 40% trailing stop, 20% loss cap",24,20.83,74.95,-25.05,25.05,-10.44
exy,Ichimoku_5m_TenkanKijun_DynamicTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, dynamic trailing stop (50% @ 2x, 40% @ 3x, 30% @ 4x, 25% @ 5x, 20% @ 6x, 15% @ 8x, 10% @ 10x)",24,16.67,71.91,-28.09,28.09,-11.70
exy,PriceBreakout_5pct_DynamicTrail_24h,"5% price breakout, dynamic trailing stop",17,11.76,68.47,-31.53,31.53,-18.55
exy,Ichimoku_5m_MACD_DynamicTrail_24h,"Ichimoku + MACD on 5m, dynamic trailing stop",24,16.67,70.09,-29.91,29.91,-12.46
exy,MultiTrade_DynamicTrail_50pctDropRebound_24h,"Multi-trade: 50% drop + 20% rebound re-entry, dynamic trailing stop",30,23.33,70.91,-29.09,35.95,-9.70
Brook Giga I verify @BrookCalls,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",15,6.67,71.58,-28.42,28.42,-9.47
Brook Giga I verify @BrookCalls,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",15,20.00,79.95,-20.05,20.05,-13.37
Brook Giga I verify @BrookCalls,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",15,20.00,86.63,-13.37,13.37,-13.37
Brook Giga I verify @BrookCalls,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",15,26.67,86.88,-13.12,13.12,-8.75
Brook Giga I verify @BrookCalls,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",15,20.00,79.95,-20.05,20.05,-13.37
Brook Giga I verify @BrookCalls,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",15,26.67,91.72,-8.28,12.25,-5.52
Brook Giga I verify @BrookCalls,Trailing_6h_20pctSL_25pctTrail_50pctActivate,"Hold 6h, 20% SL, 25% trailing stop (activates at 50% gain)",15,26.67,83.45,-16.55,16.55,-11.03
Brook Giga I verify @BrookCalls,Trailing_24h_20pctSL_30pctTrail_100pctActivate,"Hold 24h, 20% SL, 30% trailing stop (activates at 100% gain)",15,26.67,91.72,-8.28,12.25,-5.52
Brook Giga I verify @BrookCalls,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",12,25.00,85.89,-14.11,14.11,-11.76
Brook Giga I verify @BrookCalls,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",5,20.00,94.34,-5.66,6.24,-11.31
Brook Giga I verify @BrookCalls,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",6,0.00,87.52,-12.48,12.48,-20.80
Brook Giga I verify @BrookCalls,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",6,33.33,99.80,-0.20,4.00,-0.33
Brook Giga I verify @BrookCalls,MultiTrade_10pctTrail_50pctDropRebound_24h,"Multi-trade: 10% trailing stop, re-enter after 50% drop from peak + 20% rebound",21,47.62,108.42,8.42,2.69,4.01
Brook Giga I verify @BrookCalls,MultiTrade_15pctTrail_50pctDropRebound_24h,"Multi-trade: 15% trailing stop, re-enter after 50% drop from peak + 20% rebound",22,50.00,100.65,0.65,4.38,0.30
Brook Giga I verify @BrookCalls,MultiTrade_20pctTrail_50pctDropRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 50% drop from peak + 20% rebound",15,20.00,93.94,-6.06,6.06,-4.04
Brook Giga I verify @BrookCalls,MultiTrade_25pctTrail_50pctDropRebound_24h,"Multi-trade: 25% trailing stop, re-enter after 50% drop from peak + 20% rebound",15,26.67,93.17,-6.83,8.81,-4.55
Brook Giga I verify @BrookCalls,MultiTrade_30pctTrail_50pctDropRebound_24h,"Multi-trade: 30% trailing stop, re-enter after 50% drop from peak + 20% rebound",15,20.00,86.34,-13.66,13.66,-9.11
Brook Giga I verify @BrookCalls,MultiTrade_35pctTrail_50pctDropRebound_24h,"Multi-trade: 35% trailing stop, re-enter after 50% drop from peak + 20% rebound",14,14.29,83.31,-16.69,16.69,-11.92
Brook Giga I verify @BrookCalls,MultiTrade_40pctTrail_50pctDropRebound_24h,"Multi-trade: 40% trailing stop, re-enter after 50% drop from peak + 20% rebound",14,14.29,85.58,-14.42,14.42,-10.30
Brook Giga I verify @BrookCalls,MultiTrade_20pctTrail_40pctDrop15pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 40% drop from peak + 15% rebound",14,21.43,93.95,-6.05,6.05,-4.32
Brook Giga I verify @BrookCalls,MultiTrade_20pctTrail_60pctDrop25pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 60% drop from peak + 25% rebound",14,21.43,93.95,-6.05,6.05,-4.32
Brook Giga I verify @BrookCalls,MultiTrade_20pctTrail_45pctDrop18pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 45% drop from peak + 18% rebound",14,21.43,93.95,-6.05,6.05,-4.32
Brook Giga I verify @BrookCalls,MultiTrade_15pctTrail_RSI_MACD_24h,"Multi-trade: 15% trailing stop, re-enter using RSI/MACD signals",21,33.33,90.27,-9.73,9.73,-4.63
Brook Giga I verify @BrookCalls,MultiTrade_20pctTrail_RSI_MACD_24h,"Multi-trade: 20% trailing stop, re-enter using RSI/MACD signals",17,17.65,88.23,-11.77,11.77,-6.92
Brook Giga I verify @BrookCalls,MultiTrade_25pctTrail_RSI_MACD_24h,"Multi-trade: 25% trailing stop, re-enter using RSI/MACD signals",17,23.53,88.55,-11.45,12.11,-6.74
Brook Giga I verify @BrookCalls,MultiTrade_30pctTrail_RSI_MACD_24h,"Multi-trade: 30% trailing stop, re-enter using RSI/MACD signals",16,25.00,87.88,-12.12,13.15,-7.57
Brook Giga I verify @BrookCalls,MultiTrade_15pctTrail_MA_24h,"Multi-trade: 15% trailing stop, re-enter using MA crossovers",21,33.33,90.02,-9.98,9.98,-4.75
Brook Giga I verify @BrookCalls,MultiTrade_20pctTrail_MA_24h,"Multi-trade: 20% trailing stop, re-enter using MA crossovers",17,17.65,88.23,-11.77,11.77,-6.92
Brook Giga I verify @BrookCalls,MultiTrade_25pctTrail_MA_24h,"Multi-trade: 25% trailing stop, re-enter using MA crossovers",17,29.41,94.02,-5.98,11.32,-3.52
Brook Giga I verify @BrookCalls,MultiTrade_30pctTrail_MA_24h,"Multi-trade: 30% trailing stop, re-enter using MA crossovers",16,25.00,88.83,-11.17,13.02,-6.98
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijunCross_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross on 5m, 20% trailing stop, 20% loss cap",13,7.69,85.39,-14.61,14.61,-11.24
Brook Giga I verify @BrookCalls,Ichimoku_5m_CloudCross_20pctTrail_24h,"Delayed entry: Ichimoku cloud cross on 5m, 20% trailing stop, 20% loss cap",13,15.38,85.88,-14.12,14.35,-10.86
Brook Giga I verify @BrookCalls,PriceBreakout_5pct_20pctTrail_24h,"Delayed entry: 5% price breakout above alert, 20% trailing stop, 20% loss cap",9,0.00,92.09,-7.91,7.91,-8.79
Brook Giga I verify @BrookCalls,PriceBreakout_10pct_20pctTrail_24h,"Delayed entry: 10% price breakout above alert, 20% trailing stop, 20% loss cap",7,0.00,90.57,-9.43,9.43,-13.48
Brook Giga I verify @BrookCalls,Ichimoku_5m_MACD_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross + MACD bullish on 5m, 20% trailing stop",13,15.38,88.28,-11.72,12.17,-9.02
Brook Giga I verify @BrookCalls,Ichimoku_5m_MA_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross + MA golden cross on 5m, 20% trailing stop",9,11.11,91.29,-8.71,8.71,-9.68
Brook Giga I verify @BrookCalls,RSI_Oversold_5m_20pctTrail_24h,"Delayed entry: RSI oversold bounce on 5m, 20% trailing stop, 20% loss cap",13,38.46,95.99,-4.01,6.05,-3.08
Brook Giga I verify @BrookCalls,MACD_Cross_5m_20pctTrail_24h,"Delayed entry: MACD bullish crossover on 5m, 20% trailing stop, 20% loss cap",13,30.77,89.72,-10.28,10.85,-7.91
Brook Giga I verify @BrookCalls,MA_GoldenCross_5m_20pctTrail_24h,"Delayed entry: MA golden cross (EMA9 > EMA20) on 5m, 20% trailing stop, 20% loss cap",15,13.33,83.01,-16.99,17.22,-11.33
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijun_10pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 10% trailing stop, 20% loss cap",13,15.38,91.50,-8.50,8.50,-6.54
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijun_15pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 15% trailing stop, 20% loss cap",13,23.08,90.77,-9.23,9.23,-7.10
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijun_25pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 25% trailing stop, 20% loss cap",13,15.38,89.61,-10.39,12.18,-7.99
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijun_30pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 30% trailing stop, 20% loss cap",13,15.38,85.07,-14.93,14.93,-11.48
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijun_35pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 35% trailing stop, 20% loss cap",13,15.38,81.90,-18.10,18.10,-13.93
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijun_40pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 40% trailing stop, 20% loss cap",13,15.38,86.07,-13.93,15.44,-10.72
Brook Giga I verify @BrookCalls,Ichimoku_5m_TenkanKijun_DynamicTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, dynamic trailing stop (50% @ 2x, 40% @ 3x, 30% @ 4x, 25% @ 5x, 20% @ 6x, 15% @ 8x, 10% @ 10x)",13,15.38,86.26,-13.74,15.44,-10.57
Brook Giga I verify @BrookCalls,PriceBreakout_5pct_DynamicTrail_24h,"5% price breakout, dynamic trailing stop",9,22.22,92.67,-7.33,9.80,-8.15
Brook Giga I verify @BrookCalls,Ichimoku_5m_MACD_DynamicTrail_24h,"Ichimoku + MACD on 5m, dynamic trailing stop",13,23.08,89.96,-10.04,11.81,-7.72
Brook Giga I verify @BrookCalls,MultiTrade_DynamicTrail_50pctDropRebound_24h,"Multi-trade: 50% drop + 20% rebound re-entry, dynamic trailing stop",14,21.43,85.41,-14.59,14.59,-10.42
Austic,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",15,0.00,67.31,-32.69,32.69,-10.90
Austic,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",15,6.67,74.99,-25.01,26.03,-16.68
Austic,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",15,6.67,83.32,-16.68,17.35,-16.68
Austic,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",15,26.67,97.53,-2.47,8.61,-1.64
Austic,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",15,13.33,93.57,-6.43,17.71,-4.28
Austic,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",15,0.00,68.80,-31.20,31.20,-20.80
Austic,Trailing_6h_20pctSL_25pctTrail_50pctActivate,"Hold 6h, 20% SL, 25% trailing stop (activates at 50% gain)",15,26.67,91.05,-8.95,12.23,-5.97
Austic,Trailing_24h_20pctSL_30pctTrail_100pctActivate,"Hold 24h, 20% SL, 30% trailing stop (activates at 100% gain)",15,13.33,82.55,-17.45,20.55,-11.63
Austic,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",13,7.69,78.95,-21.05,21.87,-16.19
Austic,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",9,11.11,96.20,-3.80,12.43,-4.22
Austic,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",11,0.00,78.87,-21.13,21.13,-19.21
Austic,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",10,0.00,79.20,-20.80,20.80,-20.80
Austic,MultiTrade_10pctTrail_50pctDropRebound_24h,"Multi-trade: 10% trailing stop, re-enter after 50% drop from peak + 20% rebound",30,56.67,364.71,264.71,0.54,88.24
Austic,MultiTrade_15pctTrail_50pctDropRebound_24h,"Multi-trade: 15% trailing stop, re-enter after 50% drop from peak + 20% rebound",25,44.00,339.56,239.56,0.95,95.82
Austic,MultiTrade_20pctTrail_50pctDropRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 50% drop from peak + 20% rebound",22,36.36,317.88,217.88,1.57,99.04
Austic,MultiTrade_25pctTrail_50pctDropRebound_24h,"Multi-trade: 25% trailing stop, re-enter after 50% drop from peak + 20% rebound",21,38.10,296.38,196.38,2.59,93.51
Austic,MultiTrade_30pctTrail_50pctDropRebound_24h,"Multi-trade: 30% trailing stop, re-enter after 50% drop from peak + 20% rebound",20,30.00,270.03,170.03,4.20,85.01
Austic,MultiTrade_35pctTrail_50pctDropRebound_24h,"Multi-trade: 35% trailing stop, re-enter after 50% drop from peak + 20% rebound",20,30.00,252.31,152.31,5.89,76.15
Austic,MultiTrade_40pctTrail_50pctDropRebound_24h,"Multi-trade: 40% trailing stop, re-enter after 50% drop from peak + 20% rebound",19,26.32,235.91,135.91,6.52,71.53
Austic,MultiTrade_20pctTrail_40pctDrop15pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 40% drop from peak + 15% rebound",15,26.67,102.91,2.91,4.69,1.94
Austic,MultiTrade_20pctTrail_60pctDrop25pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 60% drop from peak + 25% rebound",15,26.67,102.91,2.91,4.69,1.94
Austic,MultiTrade_20pctTrail_45pctDrop18pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 45% drop from peak + 18% rebound",15,26.67,102.91,2.91,4.69,1.94
Austic,MultiTrade_15pctTrail_RSI_MACD_24h,"Multi-trade: 15% trailing stop, re-enter using RSI/MACD signals",23,34.78,103.18,3.18,4.55,1.38
Austic,MultiTrade_20pctTrail_RSI_MACD_24h,"Multi-trade: 20% trailing stop, re-enter using RSI/MACD signals",19,21.05,99.04,-0.96,5.04,-0.51
Austic,MultiTrade_25pctTrail_RSI_MACD_24h,"Multi-trade: 25% trailing stop, re-enter using RSI/MACD signals",19,21.05,89.07,-10.93,10.93,-5.75
Austic,MultiTrade_30pctTrail_RSI_MACD_24h,"Multi-trade: 30% trailing stop, re-enter using RSI/MACD signals",18,16.67,81.89,-18.11,18.11,-10.06
Austic,MultiTrade_15pctTrail_MA_24h,"Multi-trade: 15% trailing stop, re-enter using MA crossovers",24,41.67,101.56,1.56,5.24,0.65
Austic,MultiTrade_20pctTrail_MA_24h,"Multi-trade: 20% trailing stop, re-enter using MA crossovers",20,30.00,98.48,-1.52,5.00,-0.76
Austic,MultiTrade_25pctTrail_MA_24h,"Multi-trade: 25% trailing stop, re-enter using MA crossovers",19,26.32,90.09,-9.91,9.91,-5.22
Austic,MultiTrade_30pctTrail_MA_24h,"Multi-trade: 30% trailing stop, re-enter using MA crossovers",18,22.22,82.58,-17.42,17.42,-9.68
Austic,Ichimoku_5m_TenkanKijunCross_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross on 5m, 20% trailing stop, 20% loss cap",15,26.67,93.45,-6.55,10.54,-4.37
Austic,Ichimoku_5m_CloudCross_20pctTrail_24h,"Delayed entry: Ichimoku cloud cross on 5m, 20% trailing stop, 20% loss cap",15,26.67,87.93,-12.07,12.28,-8.05
Austic,PriceBreakout_5pct_20pctTrail_24h,"Delayed entry: 5% price breakout above alert, 20% trailing stop, 20% loss cap",13,23.08,91.24,-8.76,11.48,-6.74
Austic,PriceBreakout_10pct_20pctTrail_24h,"Delayed entry: 10% price breakout above alert, 20% trailing stop, 20% loss cap",11,27.27,94.42,-5.58,7.37,-5.07
Austic,Ichimoku_5m_MACD_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross + MACD bullish on 5m, 20% trailing stop",15,33.33,96.11,-3.89,10.72,-2.59
Austic,Ichimoku_5m_MA_20pctTrail_24h,"Delayed entry: Ichimoku Tenkan-Kijun cross + MA golden cross on 5m, 20% trailing stop",12,16.67,84.59,-15.41,15.61,-12.84
Austic,RSI_Oversold_5m_20pctTrail_24h,"Delayed entry: RSI oversold bounce on 5m, 20% trailing stop, 20% loss cap",13,23.08,94.94,-5.06,8.44,-3.89
Austic,MACD_Cross_5m_20pctTrail_24h,"Delayed entry: MACD bullish crossover on 5m, 20% trailing stop, 20% loss cap",15,33.33,92.42,-7.58,9.00,-5.05
Austic,MA_GoldenCross_5m_20pctTrail_24h,"Delayed entry: MA golden cross (EMA9 > EMA20) on 5m, 20% trailing stop, 20% loss cap",18,22.22,78.51,-21.49,21.67,-11.94
Austic,Ichimoku_5m_TenkanKijun_10pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 10% trailing stop, 20% loss cap",15,20.00,102.86,2.86,6.64,1.91
Austic,Ichimoku_5m_TenkanKijun_15pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 15% trailing stop, 20% loss cap",15,13.33,96.14,-3.86,10.35,-2.57
Austic,Ichimoku_5m_TenkanKijun_25pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 25% trailing stop, 20% loss cap",15,26.67,89.28,-10.72,14.18,-7.15
Austic,Ichimoku_5m_TenkanKijun_30pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 30% trailing stop, 20% loss cap",15,26.67,96.10,-3.90,16.86,-2.60
Austic,Ichimoku_5m_TenkanKijun_35pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 35% trailing stop, 20% loss cap",15,20.00,121.39,21.39,15.34,14.26
Austic,Ichimoku_5m_TenkanKijun_40pctTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, 40% trailing stop, 20% loss cap",15,20.00,115.77,15.77,15.88,10.51
Austic,Ichimoku_5m_TenkanKijun_DynamicTrail_24h,"Ichimoku Tenkan-Kijun cross on 5m, dynamic trailing stop (50% @ 2x, 40% @ 3x, 30% @ 4x, 25% @ 5x, 20% @ 6x, 15% @ 8x, 10% @ 10x)",15,20.00,119.64,19.64,17.23,13.10
Austic,PriceBreakout_5pct_DynamicTrail_24h,"5% price breakout, dynamic trailing stop",13,7.69,106.27,6.27,18.46,4.83
Austic,Ichimoku_5m_MACD_DynamicTrail_24h,"Ichimoku + MACD on 5m, dynamic trailing stop",15,20.00,106.86,6.86,19.18,4.58
Austic,MultiTrade_DynamicTrail_50pctDropRebound_24h,"Multi-trade: 50% drop + 20% rebound re-entry, dynamic trailing stop",19,26.32,319.81,219.81,6.34,115.69
Brook,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",30,3.33,38.88,-61.12,61.12,-10.19
Brook,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",30,13.33,63.05,-36.95,36.95,-12.32
Brook,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",30,13.33,75.37,-24.63,24.63,-12.32
