Caller,Strategy,Description,TotalTrades,WinRate,FinalPortfolio,TotalReturn,MaxDrawdown,AvgPnlPerTrade,Performance
Croz,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",143,15.38,45.36,-54.64,59.44,-3.82,Negative
Austic,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",182,25.27,42.34,-57.66,63.58,-3.17,Negative
Croz,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",143,23.78,40.43,-59.57,67.28,-4.17,Negative
Croz,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",143,9.09,37.02,-62.98,71.57,-4.4,Negative
meta maxist,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",174,25.29,35.04,-64.96,72.33,-3.73,Negative
Austic,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",182,10.44,29.19,-70.81,105.68,-3.89,Negative
meta maxist,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",174,7.47,20.46,-79.54,123.22,-6.86,Negative
Austic,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",182,14.29,16.92,-83.08,100.47,-4.56,Negative
Brook Giga I verify @BrookCalls,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",235,25.11,14.63,-85.37,92.82,-3.63,Negative
Croz,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",143,6.29,13.12,-86.88,90.91,-9.11,Negative
davinch,Trailing_24h_20pctSL_30pctTrail_100pctActivate,"Hold 24h, 20% SL, 30% trailing stop (activates at 100% gain)",156,8.97,10.75,-89.25,131.89,-5.72,Negative
Brook 💀🧲,Trailing_24h_20pctSL_30pctTrail_100pctActivate,"Hold 24h, 20% SL, 30% trailing stop (activates at 100% gain)",147,10.2,9.42,-90.58,99.56,-6.16,Negative
davinch,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",156,19.87,-2.11,-102.11,104.86,-6.55,Negative
Brook 💀🧲,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",147,19.73,-5.24,-105.24,104.44,-7.16,Negative
meta maxist,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",174,7.47,-19.31,-119.31,184.83,-6.86,Negative
Brook Giga I verify @BrookCalls,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",235,15.32,-26.02,-126.02,123.16,-5.36,Negative
Croz,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",143,6.29,-30.33,-130.33,121.11,-9.11,Negative
Brook Giga I verify @BrookCalls,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",235,10.21,-31.32,-131.32,124.68,-5.59,Negative
Croz,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",105,1.9,-47.72,-147.72,130.26,-14.07,Negative
Brook 💀🧲,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",147,10.2,-49.13,-149.13,149.13,-10.14,Negative
Croz,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",112,2.68,-64.46,-164.46,141.83,-14.68,Negative
Croz,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",110,2.73,-66.45,-166.45,147.99,-15.13,Negative
meta maxist,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",163,5.52,-66.9,-166.9,207.25,-10.24,Negative
Croz,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",129,5.43,-69.95,-169.95,146.48,-13.17,Negative
Brook 💀🧲,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",147,5.44,-71.1,-171.1,171.1,-17.46,Negative
Brook 💀🧲,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",124,1.61,-86.07,-186.07,186.07,-15.01,Negative
davinch,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",156,7.05,-95.44,-195.44,192.95,-12.53,Negative
davinch,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",156,2.56,-101.32,-201.32,201.32,-19.36,Negative
Brook 💀🧲,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",139,2.88,-106.03,-206.03,206.03,-14.82,Negative
Brook 💀🧲,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",147,4.08,-107.33,-207.33,207.33,-14.1,Negative
Brook 💀🧲,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",104,1.92,-110.6,-210.6,210.6,-20.25,Negative
Brook Giga I verify @BrookCalls,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",235,8.09,-127.9,-227.9,227.9,-14.55,Negative
davinch,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",113,0.88,-128.27,-228.27,228.27,-20.2,Negative
meta maxist,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",131,1.53,-130.05,-230.05,230.05,-17.56,Negative
meta maxist,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",138,2.17,-142.11,-242.11,242.11,-17.54,Negative
Brook,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",426,21.6,-144.8,-244.8,226.81,-5.75,Negative
Brook,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",426,13.85,-145.15,-245.15,218.05,-5.75,Negative
davinch,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",125,1.6,-151.72,-251.72,251.72,-20.14,Negative
Brook 💀🧲,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",147,5.44,-156.66,-256.66,256.66,-17.46,Negative
Brook 💀🧲,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",126,0.0,-162.06,-262.06,262.06,-20.8,Negative
davinch,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",128,0.0,-166.22,-266.22,266.22,-20.8,Negative
Austic,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",137,2.19,-171.77,-271.77,271.77,-19.84,Negative
Brook Giga I verify @BrookCalls,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",160,3.13,-175.87,-275.87,289.05,-17.24,Negative
davinch,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",156,1.28,-176.39,-276.39,253.29,-17.72,Negative
Brook 💀🧲,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",147,2.72,-179.55,-279.55,279.55,-9.51,Negative
meta maxist,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",174,2.87,-183.8,-283.8,283.8,-8.16,Negative
Austic,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",153,1.96,-185.1,-285.1,285.1,-18.63,Negative
davinch,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",145,2.76,-185.67,-285.67,285.67,-19.7,Negative
Brook Giga I verify @BrookCalls,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",145,2.07,-187.7,-287.7,287.7,-19.84,Negative
Austic,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",145,1.38,-192.18,-292.18,292.18,-20.15,Negative
meta maxist,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",142,0.0,-193.31,-293.31,293.31,-20.66,Negative
Brook Giga I verify @BrookCalls,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",193,5.7,-195.27,-295.27,308.45,-15.3,Negative
davinch,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",156,2.56,-201.98,-301.98,301.98,-19.36,Negative
Brook,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",426,7.75,-203.98,-303.98,281.36,-7.14,Negative
Austic,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",182,2.75,-210.5,-310.5,332.12,-8.53,Negative
Austic,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",170,1.76,-229.75,-329.75,329.75,-19.4,Negative
Brook Giga I verify @BrookCalls,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",169,1.78,-232.5,-332.5,332.5,-19.67,Negative
davinch,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",156,0.0,-235.15,-335.15,335.15,-10.74,Negative
Brook Giga I verify @BrookCalls,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",235,8.09,-241.86,-341.86,341.86,-14.55,Negative
Brook Giga I verify @BrookCalls,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",235,5.11,-291.26,-391.26,391.26,-8.32,Negative
Brook,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",426,6.57,-343.07,-443.07,443.07,-15.6,Negative
Brook,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",320,3.13,-387.71,-487.71,414.53,-15.24,Negative
Brook,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",370,4.32,-439.68,-539.68,461.2,-14.59,Negative
Brook,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",289,3.11,-462.49,-562.49,562.49,-19.46,Negative
Brook,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",426,6.57,-564.61,-664.61,664.61,-15.6,Negative
Brook,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",334,0.9,-575.67,-675.67,675.67,-20.23,Negative
Brook,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",426,3.99,-609.02,-709.02,709.02,-8.32,Negative
